seed,run_id,checkpoint_sha256,val_n,val_auprc_reproduced,temperature,temperature_converged,test_n,test_auprc_raw,test_auprc_scaled,test_auroc_raw,test_auroc_scaled,test_brier_raw,test_brier_scaled,test_ece15_raw,test_ece15_scaled
0,bd45f84e3c1b2c33,b828a471fcb8d38e0b29d9c67eddec76c1428bc996cc0d4e5b10c026bf659d6f,93610,0.8103653175088358,7.200316619603008,True,84690,0.8235342391660389,0.8235341519407569,0.8261551712125883,0.826155143327904,0.21281558582342971,0.17324908621394514,0.1911092052952511,0.05393620905106489
1,0f157ac676950b51,d6b48d61ec78dbb8aa2c9409659d239fd3a8c5ad6dc4fa3ad3a2c9d055e643f4,93610,0.8242325061326338,5.881136349755553,True,84690,0.8120650668329239,0.8120650545589361,0.8156377621141142,0.8156377456621505,0.21974376460837558,0.1790093609516616,0.1959687821177157,0.06225355608992454
2,824a3f2c34c1645d,18607fd1f82ccc0a63030d979a94e63523cf00ca4949d7b65276bd4441bad0df,93610,0.814022393022504,6.265134145435728,True,84690,0.8070405307692374,0.8070405307692374,0.8106488767400897,0.8106488767400897,0.22157575965706688,0.1811696673203572,0.1924887349833195,0.04786469320497999
3,195b3340ad837521,6c9cae9fc3f268f002b999cab76cf5bafbecd5a9956f91718a32b5ec712c57a3,93610,0.804017848604591,7.584164840389985,True,84690,0.7983598422933449,0.7983596409164087,0.8029250063308689,0.8029249126383301,0.2339904132743046,0.18431095457054938,0.21473719711922165,0.05625156208388023
4,4cce195c55c7bd45,e88f23c1adf7f7f9759efcb851598fee7cbfd776f75b9d1daa0297326327e545,93610,0.806398254353978,10.118596819031207,True,84690,0.8175538493507724,0.8175447736797153,0.8241440756457943,0.8241462369876644,0.22197946672831054,0.17524060824816917,0.20849761378756318,0.0610586108999758
