cap,run_id,seed,batch_size,lr,epoch,optimizer_steps_this_epoch,cumulative_optimizer_steps,train_loss,val_auprc,val_auroc,val_brier,val_ece,val_n,val_prevalence,epoch_runtime_s
40,2339302d73825656,0,512,0.0003,1,366,366,0.6600117786008803,0.6969396695657343,0.7025267219258944,0.2195866279907283,0.0257861343155418,93610,0.5,111.74
40,2339302d73825656,0,512,0.0003,2,366,732,0.5744821761475235,0.7240165510495087,0.7357990026991388,0.212865794082156,0.061982181241252,93610,0.5,106.54
40,2339302d73825656,0,512,0.0003,3,366,1098,0.5158378823044522,0.7285043090440242,0.7386377963352738,0.2149638476512136,0.079526286445927,93610,0.5,109.04
40,2339302d73825656,0,512,0.0003,4,366,1464,0.4729228215953691,0.7378031192444944,0.7491551960695446,0.214300596108673,0.0965058923941256,93610,0.5,107.88
40,2339302d73825656,0,512,0.0003,5,366,1830,0.4372266415364104,0.7577900092045273,0.7693544284615472,0.2054861241562438,0.0918692243604251,93610,0.5,110.13
40,2339302d73825656,0,512,0.0003,6,366,2196,0.4080906813261938,0.7569591362569368,0.7708107471327678,0.2046864228066482,0.0885940839101811,93610,0.5,108.22
40,2339302d73825656,0,512,0.0003,7,366,2562,0.3873892520131961,0.7630818204486016,0.78044240423139,0.2026158116857681,0.1005998949481525,93610,0.5,107.29
40,2339302d73825656,0,512,0.0003,8,366,2928,0.3679733022314603,0.7629003482796308,0.7771051347657338,0.2046062642150443,0.1015853399158119,93610,0.5,109.38
40,2339302d73825656,0,512,0.0003,9,366,3294,0.3496857863632056,0.7678588476066432,0.7833106372082607,0.2029722946429416,0.1078563763644955,93610,0.5,110.68
40,2339302d73825656,0,512,0.0003,10,366,3660,0.3349508514495495,0.7662849344158422,0.7810468394116556,0.2069600874650555,0.1202026624081534,93610,0.5,110.67
40,2339302d73825656,0,512,0.0003,11,366,4026,0.3215264578660329,0.7581181715930243,0.7764223719406879,0.2115864199076725,0.1286322740038138,93610,0.5,107.55
40,2339302d73825656,0,512,0.0003,12,366,4392,0.308939753415806,0.7713528622139258,0.7883695302115854,0.2050817216093551,0.1244903609956799,93610,0.5,107.67
40,2339302d73825656,0,512,0.0003,13,366,4758,0.2967765672855038,0.7645683475605156,0.7833232630350181,0.2083620865431835,0.1284387119050553,93610,0.5,113.05
40,2339302d73825656,0,512,0.0003,14,366,5124,0.2858101986145061,0.7693527502601862,0.7860992908902135,0.2110658658052824,0.1440058904722273,93610,0.5,107.46
40,2339302d73825656,0,512,0.0003,15,366,5490,0.2753721290761656,0.7722705697288397,0.7858754753500299,0.2119808520405501,0.1422631365102483,93610,0.5,107.58
40,2339302d73825656,0,512,0.0003,16,366,5856,0.2656017561835018,0.7732555609963346,0.7887088659384448,0.2098488784597736,0.141221185735817,93610,0.5,108.7
40,2339302d73825656,0,512,0.0003,17,366,6222,0.258011333562963,0.7732332125607941,0.7898134435327135,0.2093276809346458,0.1411195767735516,93610,0.5,107.22
40,2339302d73825656,0,512,0.0003,18,366,6588,0.2503332573045146,0.7724174196501373,0.787585076290575,0.2146427507910708,0.1533557828362597,93610,0.5,103.71
40,2339302d73825656,0,512,0.0003,19,366,6954,0.2415260138407431,0.7677203630813315,0.7823722047578658,0.2209573747618662,0.1635101788523315,93610,0.5,107.22
40,2339302d73825656,0,512,0.0003,20,366,7320,0.2350214241388065,0.7700838313072352,0.7828029196177341,0.2176288043270275,0.1545106216178235,93610,0.5,103.32
40,2339302d73825656,0,512,0.0003,21,366,7686,0.229929302030248,0.778737938587386,0.7881292515007791,0.2180031556261998,0.1630452123432249,93610,0.5,106.22
40,2339302d73825656,0,512,0.0003,22,366,8052,0.2235732499530406,0.7732609995478836,0.7839244469832989,0.2215055191688453,0.1691081724277705,93610,0.5,103.97
40,2339302d73825656,0,512,0.0003,23,366,8418,0.2178449945860221,0.7709738423321206,0.7821767341633762,0.221925610095186,0.1669064337431338,93610,0.5,105.7
40,2339302d73825656,0,512,0.0003,24,366,8784,0.2112006762477218,0.7715252592191303,0.7868457402031017,0.2201230464909388,0.1686191360335592,93610,0.5,109.06
40,2339302d73825656,0,512,0.0003,25,366,9150,0.2056338066856066,0.7757741866341344,0.7855305590072872,0.2213749204732014,0.1709020286018535,93610,0.5,112.0
40,2339302d73825656,0,512,0.0003,26,366,9516,0.2028781952835171,0.7779921492359618,0.7866623008787308,0.2226843221963983,0.174732084484273,93610,0.5,117.45
40,2339302d73825656,0,512,0.0003,27,366,9882,0.1973922285225873,0.7787920313592976,0.7902607849806913,0.2163461132140365,0.1626563422928104,93610,0.5,107.08
40,2339302d73825656,0,512,0.0003,28,366,10248,0.1926404497499674,0.7739145443868393,0.7859072714630697,0.2250555158254666,0.1809168671629724,93610,0.5,105.04
40,2339302d73825656,0,512,0.0003,29,366,10614,0.1900952051449669,0.7766884823031821,0.7856266854639381,0.2230833279323221,0.1754970120218562,93610,0.5,106.18
40,2339302d73825656,0,512,0.0003,30,366,10980,0.1871200970531812,0.7685462261991864,0.783465853921816,0.2285482816005831,0.1864489049859506,93610,0.5,106.47
40,2339302d73825656,0,512,0.0003,31,366,11346,0.1836434636529677,0.7767785404091987,0.7881097614548611,0.2242204822213381,0.1805663728608954,93610,0.5,104.18
40,2339302d73825656,0,512,0.0003,32,366,11712,0.18143515691894,0.7744711149446653,0.7874569702185665,0.2239426476532841,0.1797025890906448,93610,0.5,109.0
40,2339302d73825656,0,512,0.0003,33,366,12078,0.1789152523288961,0.7738531862767737,0.7858214868683836,0.2263639768714644,0.1835640655097965,93610,0.5,105.05
40,2339302d73825656,0,512,0.0003,34,366,12444,0.1771081723883504,0.7764987573114157,0.788282739549466,0.2261483338196421,0.1855276228601893,93610,0.5,107.58
40,2339302d73825656,0,512,0.0003,35,366,12810,0.1742060597110641,0.7763929523945905,0.7895332115287248,0.2244219211912519,0.1828742157342991,93610,0.5,106.7
40,2339302d73825656,0,512,0.0003,36,366,13176,0.1730562173277954,0.7754894387446678,0.7871401840507705,0.2271454344463141,0.1868967583981501,93610,0.5,108.17
40,2339302d73825656,0,512,0.0003,37,366,13542,0.1727655389717693,0.7751546379667237,0.7879224439322533,0.2260404114276753,0.1851079410562392,93610,0.5,107.1
40,2339302d73825656,0,512,0.0003,38,366,13908,0.1716193542942974,0.7762758573510735,0.7885531242804481,0.2258172308107151,0.1854025018121928,93610,0.5,109.29
40,2339302d73825656,0,512,0.0003,39,366,14274,0.1711310012866564,0.7763688090845614,0.7887927360835774,0.2251497140568471,0.1841293659068806,93610,0.5,113.54
40,2339302d73825656,0,512,0.0003,40,366,14640,0.1708996791209353,0.776009547427962,0.7884288350110007,0.22583526126265,0.1856809209234261,93610,0.5,117.08
40,5b8c450d0333bd01,1,512,0.0003,1,366,366,0.6620396110203748,0.6961516844757801,0.7033442329677867,0.2186713050715195,0.0165892484673772,93610,0.5,104.97
40,5b8c450d0333bd01,1,512,0.0003,2,366,732,0.5837091495756244,0.7234251290107132,0.7275744299608342,0.2126318708667226,0.0343063902901251,93610,0.5,113.19
40,5b8c450d0333bd01,1,512,0.0003,3,366,1098,0.5287045808763452,0.7499070207019605,0.7604116837979813,0.2034745955480016,0.0591353812315616,93610,0.5,109.08
40,5b8c450d0333bd01,1,512,0.0003,4,366,1464,0.4874840381204104,0.7523952884173994,0.7627791024319638,0.2037616400651857,0.0674357107945663,93610,0.5,109.98
40,5b8c450d0333bd01,1,512,0.0003,5,366,1830,0.4503484674490214,0.7572062621509537,0.7667687936186749,0.2034289445224897,0.072763426621451,93610,0.5,110.33
40,5b8c450d0333bd01,1,512,0.0003,6,366,2196,0.4206772153494788,0.7575187139699544,0.7714612340912022,0.2036433730387594,0.0844093255850373,93610,0.5,110.69
40,5b8c450d0333bd01,1,512,0.0003,7,366,2562,0.3958504875012434,0.7685962691179345,0.7880751977434328,0.1967548164800471,0.0872517569065342,93610,0.5,108.84
40,5b8c450d0333bd01,1,512,0.0003,8,366,2928,0.3750469066569062,0.7622821148357111,0.7777733751169327,0.2061041021927379,0.1083328394150642,93610,0.5,109.75
40,5b8c450d0333bd01,1,512,0.0003,9,366,3294,0.3563989295008404,0.7669554417566695,0.7792154397206812,0.205494128496915,0.1067134288032667,93610,0.5,108.18
40,5b8c450d0333bd01,1,512,0.0003,10,366,3660,0.3401410784877715,0.7633455635487026,0.7772340837159255,0.2146356163512672,0.1378815770638778,93610,0.5,111.56
40,5b8c450d0333bd01,1,512,0.0003,11,366,4026,0.3256532084095022,0.7721760861953475,0.7920323524172055,0.2030834344348439,0.1235513546622938,93610,0.5,110.6
40,5b8c450d0333bd01,1,512,0.0003,12,366,4392,0.3124816098499819,0.7677582263276566,0.7819270906719759,0.2139952149738802,0.1420175122467554,93610,0.5,111.76
40,5b8c450d0333bd01,1,512,0.0003,13,366,4758,0.3007457269752612,0.7791591464204967,0.7944183056982229,0.2014626237561691,0.1202903774603293,93610,0.5,110.12
40,5b8c450d0333bd01,1,512,0.0003,14,366,5124,0.2914179671820395,0.7762060292411648,0.7912026991821514,0.2063296780281758,0.1330011005088538,93610,0.5,110.58
40,5b8c450d0333bd01,1,512,0.0003,15,366,5490,0.2810013515701711,0.7698393664673697,0.7862063432665792,0.2081841324634034,0.1305217307582454,93610,0.5,113.2
40,5b8c450d0333bd01,1,512,0.0003,16,366,5856,0.2719134794639759,0.7736125924781896,0.7856418362734577,0.2102596950071794,0.1358865605358129,93610,0.5,112.47
40,5b8c450d0333bd01,1,512,0.0003,17,366,6222,0.2619682173422777,0.7746860720035649,0.7894687882927712,0.210045538659539,0.1401324189860016,93610,0.5,114.47
40,5b8c450d0333bd01,1,512,0.0003,18,366,6588,0.2552702110158941,0.7784792861235028,0.791172701117941,0.2119148932915985,0.1495766041923651,93610,0.5,112.73
40,5b8c450d0333bd01,1,512,0.0003,19,366,6954,0.2460047926326267,0.7741691019466124,0.787374753420187,0.2163267044207261,0.1549375658850145,93610,0.5,109.84
40,5b8c450d0333bd01,1,512,0.0003,20,366,7320,0.2408146535356839,0.7726846182175641,0.7859283091821422,0.2180910122324995,0.1614248980721244,93610,0.5,110.11
40,5b8c450d0333bd01,1,512,0.0003,21,366,7686,0.2323868843457086,0.7794824413676948,0.7912653773201931,0.2116850569861463,0.1502461476260173,93610,0.5,110.19
40,5b8c450d0333bd01,1,512,0.0003,22,366,8052,0.2264622232057357,0.776198013682109,0.7900139268901432,0.2129998519940322,0.1515348098443023,93610,0.5,111.31
40,5b8c450d0333bd01,1,512,0.0003,23,366,8418,0.222044779425436,0.7801187161335488,0.7946023110496434,0.2121291448833622,0.1548455675901451,93610,0.5,111.45
40,5b8c450d0333bd01,1,512,0.0003,24,366,8784,0.2162647564065912,0.7754281994082183,0.7851659876034827,0.2237448288226146,0.1709829814733945,93610,0.5,109.06
40,5b8c450d0333bd01,1,512,0.0003,25,366,9150,0.2104966343670594,0.7813275953688916,0.7920279234837787,0.2166206456232969,0.1645609554158117,93610,0.5,106.64
40,5b8c450d0333bd01,1,512,0.0003,26,366,9516,0.2068274160796175,0.7797210214141103,0.7888852319788255,0.2195703617613842,0.1658652612874038,93610,0.5,109.21
40,5b8c450d0333bd01,1,512,0.0003,27,366,9882,0.2019111115912922,0.7751511326423349,0.7850268298533302,0.2239039876089119,0.1723501904305815,93610,0.5,109.39
40,5b8c450d0333bd01,1,512,0.0003,28,366,10248,0.1989724673127216,0.7798093523057166,0.7914931511697001,0.2176841899109924,0.1664693994693642,93610,0.5,110.13
40,5b8c450d0333bd01,1,512,0.0003,29,366,10614,0.1948650333969319,0.7771596675850172,0.7881004322791944,0.2206994508562,0.1703807173863798,93610,0.5,108.67
40,5b8c450d0333bd01,1,512,0.0003,30,366,10980,0.1904892767550515,0.7809850312168973,0.7922387229124246,0.2193998736809592,0.1723913484887295,93610,0.5,115.07
40,5b8c450d0333bd01,1,512,0.0003,31,366,11346,0.1871766184604233,0.7765330104378587,0.7867239505821411,0.2292093899780833,0.1858519113051238,93610,0.5,110.65
40,5b8c450d0333bd01,1,512,0.0003,32,366,11712,0.1844063442953623,0.7790478048863082,0.7896451383565822,0.223166294707702,0.1785725043463115,93610,0.5,112.2
40,5b8c450d0333bd01,1,512,0.0003,33,366,12078,0.1836444595472408,0.7799227046285664,0.7894549902422527,0.2235457173622633,0.1787789614319277,93610,0.5,105.14
40,5b8c450d0333bd01,1,512,0.0003,34,366,12444,0.1814500185879853,0.7793186987846161,0.7896859331585275,0.2242003679681812,0.1798421308578514,93610,0.5,112.75
40,5b8c450d0333bd01,1,512,0.0003,35,366,12810,0.1791729973476441,0.7816624582238618,0.792260705759728,0.2223272222112849,0.1793023423593487,93610,0.5,110.36
40,5b8c450d0333bd01,1,512,0.0003,36,366,13176,0.1773505865346864,0.7832732508556981,0.7922821412953923,0.2231177460466011,0.1802447193880473,93610,0.5,110.77
40,5b8c450d0333bd01,1,512,0.0003,37,366,13542,0.1761271375246712,0.7823113195843869,0.7917889007596072,0.223203966551342,0.1800599236805054,93610,0.5,110.52
40,5b8c450d0333bd01,1,512,0.0003,38,366,13908,0.1762321283989916,0.782476157456107,0.7919943539714746,0.2225484782920391,0.1788326673802389,93610,0.5,113.35
