run_id,seed,batch_size,lr,epoch,optimizer_steps_this_epoch,cumulative_optimizer_steps,train_loss,val_auprc,val_auroc,val_brier,val_ece,val_n,val_prevalence,epoch_runtime_s
5113000de389877f,0,512,0.0003,1,366,366,0.6594207102809447,0.6982701533648261,0.7005571564015246,0.22093631104207678,0.04109722496568599,93610,0.5,109.1
5113000de389877f,0,512,0.0003,2,366,732,0.5727924903233846,0.7205621743860596,0.7286647847560608,0.21426185027950242,0.054441311115480784,93610,0.5,108.85
5113000de389877f,0,512,0.0003,3,366,1098,0.5141379066992328,0.7328321580125243,0.7457841966411749,0.21120987470814084,0.07148490964535949,93610,0.5,108.56
5113000de389877f,0,512,0.0003,4,366,1464,0.471086532854643,0.740345135448941,0.7514485628453385,0.2159947990650887,0.10579323615844677,93610,0.5,108.65
5113000de389877f,0,512,0.0003,5,366,1830,0.4361710138822514,0.7566135286050109,0.7681797354076886,0.20537665433912183,0.08863963296552478,93610,0.5,109.37
5113000de389877f,0,512,0.0003,6,366,2196,0.40906630415734047,0.7486238206949125,0.7634460509633638,0.20782479378656069,0.08955628670372048,93610,0.5,113.13
5113000de389877f,0,512,0.0003,7,366,2562,0.3867075080917181,0.7467689201031688,0.7687069441853166,0.20829506703808112,0.10127119426415641,93610,0.5,110.8
5113000de389877f,0,512,0.0003,8,366,2928,0.3674895580186219,0.764468513082205,0.7740666855867295,0.2072278708320284,0.10798507975656735,93610,0.5,110.48
5113000de389877f,0,512,0.0003,9,366,3294,0.3495546043570576,0.7684629370462741,0.7768971451592688,0.20533247826552273,0.10415987848009042,93610,0.5,107.92
5113000de389877f,0,512,0.0003,10,366,3660,0.3341797233604994,0.7664433350595249,0.7769241683861545,0.2105894428161037,0.12472066389743326,93610,0.5,115.27
5113000de389877f,0,512,0.0003,11,366,4026,0.32305601096706965,0.7666799715594426,0.7789176811912213,0.2087809975941638,0.12331986701753274,93610,0.5,114.67
5113000de389877f,0,512,0.0003,12,366,4392,0.30876221996350367,0.7643029125211579,0.77418892939875,0.21351435484221826,0.1305368721203001,93610,0.5,110.86
5113000de389877f,0,512,0.0003,13,366,4758,0.29653325778701917,0.7744972471210354,0.7817550497173168,0.20871849203695406,0.12619828198141805,93610,0.5,109.86
5113000de389877f,0,512,0.0003,14,366,5124,0.28680675489003543,0.7696589462681642,0.7794891546535508,0.2159116310117725,0.14812687522729986,93610,0.5,115.8
5113000de389877f,0,512,0.0003,15,366,5490,0.2764761335537082,0.7753439157276749,0.7828752779595081,0.21675172448719623,0.15275162665815228,93610,0.5,115.41
5113000de389877f,0,512,0.0003,16,366,5856,0.26704686061769234,0.775899691670147,0.7835094001173435,0.21322335190326205,0.14511721856195905,93610,0.5,117.89
5113000de389877f,0,512,0.0003,17,366,6222,0.25889540194976524,0.7762782737372703,0.7860436556806787,0.21023936408621305,0.14122814763579633,93610,0.5,107.44
5113000de389877f,0,512,0.0003,18,366,6588,0.25094750409569244,0.7741009291740804,0.7813744599762444,0.21907340998212949,0.16072107617942089,93610,0.5,111.59
5113000de389877f,0,512,0.0003,19,366,6954,0.24521916506231808,0.7709888037652941,0.7773354701158772,0.22099317060117693,0.15978418671200323,93610,0.5,112.19
5113000de389877f,0,512,0.0003,20,366,7320,0.23709973888319047,0.7806557119419927,0.7884958649384598,0.21089387005169294,0.14396757113815703,93610,0.5,111.0
5113000de389877f,0,512,0.0003,21,366,7686,0.22960224808728108,0.7833701338060877,0.7878385315633285,0.21781973335445476,0.16470636315496315,93610,0.5,116.26
5113000de389877f,0,512,0.0003,22,366,8052,0.2231159227711907,0.7833848002409044,0.7915152335282105,0.21221622407025342,0.15427575731353013,93610,0.5,114.07
5113000de389877f,0,512,0.0003,23,366,8418,0.21753440402407465,0.780136583710627,0.7833722314501494,0.21833168496612576,0.16061608927190296,93610,0.5,109.65
5113000de389877f,0,512,0.0003,24,366,8784,0.21158509624134647,0.781037257514358,0.7865074046095212,0.22104073708164815,0.17128829504196857,93610,0.5,113.67
5113000de389877f,0,512,0.0003,25,366,9150,0.20599778611314754,0.7816799007412278,0.7861221741313519,0.22032269285907782,0.16918250644286897,93610,0.5,113.61
5113000de389877f,0,512,0.0003,26,366,9516,0.20184162572596243,0.7775161074604041,0.7832923723370211,0.2216274097211757,0.16844302093592634,93610,0.5,110.68
5113000de389877f,0,512,0.0003,27,366,9882,0.19594628815768195,0.7819464680900634,0.7894541619712194,0.21821092203388046,0.16651076603285983,93610,0.5,112.51
5113000de389877f,0,512,0.0003,28,366,10248,0.19186279055525046,0.7830557999353942,0.7867604951600065,0.22271371659425704,0.1748391795511024,93610,0.5,108.74
5113000de389877f,0,512,0.0003,29,366,10614,0.186590406168354,0.7770448060114405,0.7811254062485118,0.22980203036381125,0.18837526790230494,93610,0.5,110.05
5113000de389877f,0,512,0.0003,30,366,10980,0.18331249094888813,0.7844172847528261,0.7891465951972308,0.22392814866392804,0.18117100518253562,93610,0.5,110.69
5113000de389877f,0,512,0.0003,31,366,11346,0.1777831925069048,0.7891596814747421,0.7963624819423392,0.21838140272302303,0.1745617506800595,93610,0.5,114.79
5113000de389877f,0,512,0.0003,32,366,11712,0.17637930415530023,0.7818043585083215,0.7872380939491013,0.2259466376067247,0.18334060866454419,93610,0.5,107.08
5113000de389877f,0,512,0.0003,33,366,12078,0.17180696329295309,0.77546550556573,0.7833092556914333,0.23188378152134373,0.19268190381433611,93610,0.5,111.39
5113000de389877f,0,512,0.0003,34,366,12444,0.16714027739776288,0.7844986347304883,0.788869868452689,0.22540539482416797,0.18484895399721482,93610,0.5,111.16
5113000de389877f,0,512,0.0003,35,366,12810,0.16411958390572032,0.780557577611641,0.7878882554419822,0.23157511865596203,0.19643471742356552,93610,0.5,112.78
5113000de389877f,0,512,0.0003,36,366,13176,0.16077760853321174,0.7804500392564455,0.7860440594314251,0.22725967041838405,0.18703213141130381,93610,0.5,110.15
5113000de389877f,0,512,0.0003,37,366,13542,0.15819581429082188,0.7816323509498462,0.785836696791212,0.22981005908735952,0.19055364681369957,93610,0.5,110.96
5113000de389877f,0,512,0.0003,38,366,13908,0.15480340003478724,0.7858627212068844,0.7899823003569817,0.2300515817695837,0.19551714666189143,93610,0.5,114.12
5113000de389877f,0,512,0.0003,39,366,14274,0.15128253581501094,0.7829414468173431,0.7878190693622898,0.23160491078719003,0.19786966158410002,93610,0.5,111.63
5113000de389877f,0,512,0.0003,40,366,14640,0.14753114421918093,0.7868910686986168,0.7897507464510247,0.2271880196420522,0.19019674653365867,93610,0.5,111.88
5113000de389877f,0,512,0.0003,41,366,15006,0.14533339471357767,0.7835947098678682,0.7876009757165152,0.23189326708279906,0.1988659304579982,93610,0.5,106.48
5113000de389877f,0,512,0.0003,42,366,15372,0.14423771406132016,0.783637339846065,0.7875885539333796,0.23476113202410048,0.2012752410563694,93610,0.5,112.62
5113000de389877f,0,512,0.0003,43,366,15738,0.14163449988827678,0.7849808103544398,0.7897872780193974,0.23007029618933503,0.19675386007638768,93610,0.5,112.46
5113000de389877f,0,512,0.0003,44,366,16104,0.13841264853711988,0.7842674675990493,0.7894278010872764,0.23240580303906636,0.20089738383411537,93610,0.5,109.52
5113000de389877f,0,512,0.0003,45,366,16470,0.13728611505096727,0.7845129739441044,0.7881540265960361,0.2330258314289726,0.2003097416895839,93610,0.5,107.79
5113000de389877f,0,512,0.0003,46,366,16836,0.1348241114673393,0.7850921753628604,0.7896200870949016,0.23364639332750828,0.20304406420518553,93610,0.5,107.03
5113000de389877f,0,512,0.0003,47,366,17202,0.13397522734814002,0.7845719459899337,0.790070763537738,0.23259249590055175,0.20250103093198563,93610,0.5,107.27
5113000de389877f,0,512,0.0003,48,366,17568,0.13091089338308476,0.7860373515608314,0.7892820194512229,0.23362218367544363,0.20310628793462732,93610,0.5,111.13
5113000de389877f,0,512,0.0003,49,366,17934,0.12977536214016827,0.7834830902440011,0.7879399791307197,0.23502562423815954,0.20504601280988563,93610,0.5,113.71
5113000de389877f,0,512,0.0003,50,366,18300,0.12901558765703863,0.7860861475783285,0.7904150926274166,0.23330920760314117,0.20383607651351002,93610,0.5,114.49
5113000de389877f,0,512,0.0003,51,366,18666,0.127206406978473,0.7855618740520929,0.7901606098329785,0.23489221078598646,0.2044345324436851,93610,0.5,115.64
5113000de389877f,0,512,0.0003,52,366,19032,0.1265082007548848,0.7861401844285454,0.7898365342410247,0.23493883978682717,0.20682357302232304,93610,0.5,110.9
5113000de389877f,0,512,0.0003,53,366,19398,0.12561722399025668,0.7855809659532225,0.7902685746997253,0.23400796119019177,0.20495715214254798,93610,0.5,108.97
5113000de389877f,0,512,0.0003,54,366,19764,0.12482073162097097,0.7844835314984728,0.7892549234168256,0.23507510078929636,0.20629108799052304,93610,0.5,112.95
5113000de389877f,0,512,0.0003,55,366,20130,0.12324524147670125,0.7849222818917039,0.7894269422325232,0.23505327448309668,0.2065384479377652,93610,0.5,112.3
5113000de389877f,0,512,0.0003,56,366,20496,0.12381750493834578,0.7851744847286234,0.7892732339354077,0.23517765962225007,0.20642813090822018,93610,0.5,110.48
5113000de389877f,0,512,0.0003,57,366,20862,0.12293232073549365,0.7851212443032842,0.7892888492066397,0.23507932571006082,0.20690601049160598,93610,0.5,108.44
5113000de389877f,0,512,0.0003,58,366,21228,0.12307525745750776,0.7849332119835761,0.7890030180995936,0.23552093016024342,0.2075053824190235,93610,0.5,107.67
