run_id,seed,batch_size,lr,config_id,check,cumulative_optimizer_steps,effective_epochs,steps_per_epoch,train_loss,val_auprc,val_auroc,val_brier,val_ece,val_n,val_prevalence,check_runtime_s
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,1,366,1.0,366,0.5902807432445673,0.7546908802331608,0.769914130615375,0.19842293261465263,0.046681656071695575,93610,0.5,5.8
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,2,732,2.0,366,0.453624015541676,0.779872710457042,0.7966387031425605,0.18908667752209746,0.0691758695267857,93610,0.5,5.23
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,3,1098,3.0,366,0.3732095703564055,0.7881669520184992,0.8069312974740209,0.1946839344333861,0.12197294814811502,93610,0.5,5.04
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,4,1464,4.0,366,0.3263730024868022,0.7950242867937392,0.8122242545306786,0.18958346827766037,0.11142406550467814,93610,0.5,5.1
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,5,1830,5.0,366,0.2913983095376218,0.7784346152191429,0.7934120885415573,0.20305172009570432,0.12930271093483647,93610,0.5,5.28
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,6,2196,6.0,366,0.2670058509121176,0.7915817428330132,0.803157134552424,0.20208028722064264,0.13799837029169046,93610,0.5,5.29
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,7,2562,7.0,366,0.24624437285088452,0.7981381417777658,0.805545055462149,0.19926549410618444,0.13266506810844286,93610,0.5,4.98
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,8,2928,8.0,366,0.22750236285351666,0.7975179583769924,0.8049096213996842,0.20588331692023729,0.15060560655599708,93610,0.5,5.04
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,9,3294,9.0,366,0.21123626429200823,0.8067604112834781,0.8106163216341894,0.20121098068261356,0.14507367762944107,93610,0.5,4.98
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,10,3660,10.0,366,0.19540741599974085,0.8095034884446337,0.8132171180137071,0.20049597078919712,0.14631087357216027,93610,0.5,5.3
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,11,4026,11.0,366,0.18261347039312611,0.81173919361721,0.8187752637643257,0.20574215611308128,0.1672217720942249,93610,0.5,5.09
