seed,n_covered,positives_covered,m4_auprc_covered,m0_auprc_covered,delta_covered,n_uncovered,positives_uncovered,m4_auprc_uncovered,m0_auprc_uncovered,delta_uncovered,contrast
0,79163,40529,0.8290545852284115,0.7902128262731017,0.038841758955309724,5527,1816,0.693867543006169,0.6525496499307648,0.04131789307540423,-0.0024761341200945086
1,79163,40529,0.8185535655250218,0.7871706455271341,0.03138291999788767,5527,1816,0.6473027361197179,0.6294790066962334,0.017823729423484536,0.013559190574403135
2,79163,40529,0.8132227641622385,0.7846466266567944,0.028576137505444077,5527,1816,0.6683578139883499,0.6136843484235037,0.0546734655648462,-0.026097328059402125
3,79163,40529,0.8036338622220884,0.7771145444671554,0.02651931775493299,5527,1816,0.6819233450388301,0.5925351294033191,0.08938821563551103,-0.06286889788057803
4,79163,40529,0.8216786644760007,0.7885139529191776,0.0331647115568231,5527,1816,0.7242044093709387,0.6521913634268987,0.07201304594404001,-0.03884833438721691
