hypothesis,status,comparison,test_view,n_seeds,model_a_mean,model_a_std,model_b_mean,model_b_std,delta_mean,delta_std,ci95_low,ci95_high,paired_t,paired_p,cohen_dz,nominal_pass,holm_p_source,holm_adjusted_p,holm_reject_0_05,joint_conclusion_supported
H-V2-1,CONFIRMATORY,M4 true mean vs M0 GINE,pooled drug-disjoint,5,0.8117107056824635,0.009671090046444,0.7784449441524766,0.0058921316342164,0.0332657615299869,0.004308128638386,0.0279165133000724,0.0386150097599014,17.26608241025403,6.602767161236487e-05,7.721626794888284,True,two-sided paired t-test,0.0001980830148370946,True,True
H-V2-2,CONFIRMATORY,M4 true mean vs aligned Dual,S3,5,0.7372412574502945,0.0152530245585501,0.6197607334330234,0.0278416145233429,0.117480524017271,0.0228667544677664,0.0890876982388804,0.1458733497956617,11.48805083402699,0.0003277480500606,5.1376125187715,True,two-sided paired t-test,0.0006554961001212,True,True
H-V2-3,CONFIRMATORY,M4 true mean vs M4 shuffled biology,pooled drug-disjoint,5,0.8117107056824635,0.009671090046444,0.69225591904776,0.0054409898127194,0.1194547866347034,0.0140923325297818,0.1019568446817575,0.1369527285876494,18.95420950282278,4.563648828331559e-05,8.476580181616846,True,two-sided paired t-test,0.00018254595313326236,True,True
H-V2-4,CONFIRMATORY,M4 true mean vs biological-degree-only RF,pooled drug-disjoint,5,0.8117107056824635,0.009671090046444024,0.6504215381986544,0.0005891973547866884,0.161289167483809,0.00986980278212622,0.14903418869987153,0.17354414626774647,36.541109330094564,3.3485677861763538e-06,16.341680887068648,True,two-sided paired t-test,1.6742838930881768e-05,True,True
H-V2-5,EXPLORATORY,M4-GINE gain: pathway-covered vs pathway-uncovered,pooled drug-disjoint subgroup contrast,5,0.03169696915407951,,0.0550432699286572,,-0.023346300774577687,0.03003121720455263,-0.060634981999708175,0.0139423804505528,-1.7383216670684185,0.15714602001053307,-0.7774010828651483,,two-sided descriptive paired t-test; H5 remains exploratory,0.15714602001053307,False,
