hypothesis,n_seeds,model_a_mean,model_a_std,model_b_mean,model_b_std,delta_mean,delta_std,ci95_low,ci95_high,paired_t,paired_p,cohen_dz,wilcoxon_stat,wilcoxon_p,comparison,test_view,required_p_lt_0_05,required_dz_gt_0_5,nominal_pass
H-V2-1,5,0.8117107056824635,0.009671090046444024,0.7784449441524766,0.0058921316342164685,0.03326576152998693,0.004308128638386002,0.027916513300072426,0.038615009759901425,17.26608241025403,6.602767161236487e-05,7.721626794888284,0.0,0.0625,M4 true mean vs M0 GINE,pooled drug-disjoint,True,True,True
H-V2-2,5,0.7372412574502945,0.015253024558550193,0.6197607334330234,0.027841614523342995,0.11748052401727108,0.022866754467766457,0.0890876982388804,0.14587334979566177,11.48805083402699,0.0003277480500606161,5.1376125187715,0.0,0.0625,M4 true mean vs aligned Dual,S3,True,False,True
H-V2-3,5,0.8117107056824635,0.009671090046444024,0.69225591904776,0.005440989812719405,0.11945478663470346,0.014092332529781879,0.10195684468175753,0.1369527285876494,18.95420950282278,4.563648828331559e-05,8.476580181616846,0.0,0.0625,M4 true mean vs M4 shuffled biology,pooled drug-disjoint,True,True,True
