hypothesis,seed,model_a,model_b,n_pairs,n_bootstrap,bootstrap_rng_seed,model_a_auprc,model_b_auprc,observed_delta,bootstrap_delta_mean,bootstrap_delta_std,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_fraction_le_zero
H-V2-1,0,M4 true mean,M0 GINE,84690,1000,20260829,0.8235342391660389,0.7838479210735139,0.039686318092524986,0.03950748115840485,0.0019481707051527835,0.035617036787731635,0.04328437860573639,0.0
H-V2-3,0,M4 true mean,M4 shuffled biology,84690,1000,20260829,0.8235342391660389,0.6913350217259946,0.13219921744004426,0.13214369235897983,0.002407240634524795,0.12744284306085574,0.13674598678646618,0.0
