run_id,seed,batch_size,lr,config_id,check,cumulative_optimizer_steps,effective_epochs,steps_per_epoch,train_loss,val_auprc,val_auroc,val_brier,val_ece,val_n,val_prevalence,check_runtime_s
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,1,366,1.0,366,0.6693067708627773,0.6468044275287108,0.6492950622664561,0.23255771667528613,0.014809935145424724,93610,0.5,5.05
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,2,732,2.0,366,0.6113283008825584,0.6946205023414754,0.6965440812223254,0.2218190876055547,0.023876549779370745,93610,0.5,4.76
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,3,1098,3.0,366,0.5379436299449107,0.7095974538990315,0.7054515630854093,0.23472494246890585,0.11344671132874962,93610,0.5,4.77
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,4,1464,4.0,366,0.4815181160722274,0.7270860540451115,0.7275366154738945,0.22410534386351677,0.10621961316320962,93610,0.5,4.48
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,5,1830,5.0,366,0.43734587981401246,0.7403938353343262,0.7406610063885624,0.21841218338037574,0.10053682462436705,93610,0.5,4.53
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,6,2196,6.0,366,0.40521200392089907,0.7371837860167485,0.7332121114131583,0.2284563770711861,0.12666697754737555,93610,0.5,4.56
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,7,2562,7.0,366,0.38145230824504395,0.7330657447726772,0.7295460062506505,0.22514964843743965,0.10440367907119597,93610,0.5,4.51
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,8,2928,8.0,366,0.3606043335844259,0.7471034186213155,0.7441454453977271,0.22438038796551604,0.12556829916473886,93610,0.5,4.78
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,9,3294,9.0,366,0.34313085699667695,0.7446329759487891,0.7463133436049745,0.22677308396202078,0.13776538423378368,93610,0.5,4.77
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,10,3660,10.0,366,0.3280563735571064,0.7392350387283774,0.7393179912690555,0.23029796090533206,0.1406909835106697,93610,0.5,4.84
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,11,4026,11.0,366,0.3136388223435058,0.7480588638416302,0.7465091720746311,0.2353476161707588,0.1628503055657646,93610,0.5,4.65
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,12,4392,12.0,366,0.3028431540059913,0.7474195396765786,0.740771189716165,0.24192720670868095,0.17368331040129192,93610,0.5,4.76
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,13,4758,13.0,366,0.29077346769512674,0.7437992227696182,0.7426592740490828,0.23706539436029003,0.16423893532844805,93610,0.5,4.75
11b0cfe445e48a99,0,512,0.001,77926ed46926273d,14,5124,14.0,366,0.2808929390676035,0.758504663920829,0.7535618791554844,0.231512529713584,0.1598843373765687,93610,0.5,4.59
