variant,description,aggregation,biology,pooled_auprc_mean,pooled_auprc_std,s3_auprc_mean,s3_auprc_std,n_seeds
M0,"Molecular structure only, no biology",n/a,none,0.7784449441524766,0.0058921316342164685,0.7145015188306003,0.006464976176374413,5
M1,DrugBank documented protein relations only,mean,true,0.8186088334562088,0.0017257261239102227,0.7468486317522413,0.007804245285906905,5
M2,M1 + ChEMBL curated mechanism-of-action evidence,mean,true,0.8268912129778538,0.005995285632690542,0.7593620869076,0.011406578082770824,5
M3,M2 + ChEMBL experimental bioactivity evidence,mean,true,0.8176723860166201,0.004186958625680136,0.7465615854554561,0.00526389145051856,5
M4 (primary),M3 + Reactome pathway level,mean,true,0.8117107056824635,0.009671090046444024,0.7372412574502945,0.015253024558550193,5
M4 SUM (CONTROL C),M4 with SUM instead of MEAN aggregation,sum,true,0.8264743641552563,0.009234210258993047,0.7484939304283305,0.012681131267852325,5
M4 shuffled (CONTROL F),M4 with degree-preserving shuffled biology,mean,shuffled,0.69225591904776,0.005440989812719405,0.6305124710306378,0.01046229050023505,5
