hypothesis,status,comparison,test_view,n_seeds,delta_auprc,delta_std,ci95_low,ci95_high,paired_t,raw_p,holm_adjusted_p,cohen_dz,conclusion
H-V2-1,CONFIRMATORY,BIO-GINE M4 vs aligned molecular GINE (M0),pooled drug-disjoint,5,0.03326576152998693,0.004308128638386002,0.027916513300072426,0.038615009759901425,17.26608241025403,6.602767161236487e-05,0.0001980830148370946,7.721626794888284,Supported (confirmatory)
H-V2-2,CONFIRMATORY,BIO-GINE M4 vs aligned Dual,S3,5,0.11748052401727108,0.022866754467766457,0.0890876982388804,0.14587334979566177,11.48805083402699,0.0003277480500606161,0.0006554961001212321,5.1376125187715,Supported (confirmatory)
H-V2-3,CONFIRMATORY,BIO-GINE M4 true biology vs degree-preserving shuffled biology,pooled drug-disjoint,5,0.11945478663470346,0.014092332529781879,0.10195684468175753,0.1369527285876494,18.95420950282278,4.563648828331559e-05,0.00018254595313326236,8.476580181616846,Supported (confirmatory)
H-V2-4,CONFIRMATORY,BIO-GINE M4 vs biological-degree-only RF,pooled drug-disjoint,5,0.161289167483809,0.00986980278212622,0.14903418869987153,0.17354414626774647,36.541109330094564,3.3485677861763538e-06,1.6742838930881768e-05,16.341680887068648,Supported (confirmatory)
H-V2-5,EXPLORATORY,M4-minus-M0 gain: pathway-covered vs pathway-uncovered pairs,pooled drug-disjoint subgroup contrast,5,-0.023346300774577715,0.03003121720455264,-0.060634981999708217,0.013942380450552787,-1.7383216670684203,0.15714602001053277,0.15714602001053277,-0.777401082865149,Exploratory direction unsupported
