scheme,negatives,architecture,train_auprc,train_auc,val_auprc,val_auc,gap,seconds
random_pair,uniform,gine,0.6786029334162264,0.7092276082388251,0.6807745516549579,0.7114092132674668,-0.0021716182387315763,340.0
random_pair,uniform,dual,0.7940551035126883,0.8189161359739451,0.796619900449129,0.8208268649062309,-0.0025647969364407386,476.3
drug,degree_matched,gine,0.6334908199200884,0.6302262325446549,0.6299183988928673,0.6422209573089961,0.0035724210272211065,207.9
drug,degree_matched,dual,0.7267735842734687,0.7217115455862823,0.6525277206799374,0.6521062499873757,0.07424586359353136,314.4
