scheme,seed,negatives,test_S1_fraction,n_train,n_test,model,encoding,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive,threshold
random_pair,1,uniform,0.9995471803267268,267948,57418,random_forest,symmetric,S1,0.8766595551813386,0.8722133401569986,0.7995690358810278,0.166252003687575,0.5,57392,28696,0.485661429336245
random_pair,1,uniform,0.9995471803267268,267948,57418,random_forest,symmetric,S2,0.4970414201183432,0.539435286935287,0.1111111111111111,0.2808498605160833,0.5,26,13,0.485661429336245
random_pair,1,degree_matched,0.9995471803267268,267948,57418,degree_only,none,pooled,0.6302659332604948,0.6406547275931345,0.6666666666666666,0.2395008910051266,0.5,57418,28709,0.0058161448952934
random_pair,1,degree_matched,0.9995471803267268,267948,57418,degree_only,none,S1,0.6303841094409085,0.6407184750538801,0.6666666666666666,0.2394068483431539,0.5,57392,28696,0.0058161448952934
random_pair,1,degree_matched,0.9995471803267268,267948,57418,degree_only,none,S2,0.2781065088757397,0.4551583701557297,0.6666666666666666,0.4470892162333608,0.5,26,13,0.0058161448952934
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,concat,pooled,0.6252810082474932,0.6411531867668117,0.666620210677909,0.2385617679083465,0.5,57418,28709,0.0948259359978922
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,concat,S1,0.6254524060814115,0.6413768335780843,0.6666356834131152,0.2385001227964684,0.5,57392,28696,0.0948259359978922
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,concat,S2,0.3727810650887573,0.5300955820924861,0.6285714285714286,0.3746362394815966,0.5,26,13,0.0948259359978922
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,concat,pooled,0.7912401288821875,0.7921823669373174,0.7337478971401106,0.2130783332071822,0.5,57418,28709,0.4600570063366813
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,concat,S1,0.7913503063880123,0.7922717106478413,0.7338352191618206,0.2130626038782181,0.5,57392,28696,0.4600570063366813
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,concat,S2,0.5325443786982249,0.5501303065038479,0.5185185185185185,0.2477990119729542,0.5,26,13,0.4600570063366813
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,symmetric,pooled,0.6545400734260731,0.666461397619227,0.6707684027692835,0.2315120032261338,0.5,57418,28709,0.2798572776273842
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,symmetric,S1,0.654660757245191,0.6665367846093835,0.6708107975820464,0.2314707536435466,0.5,57392,28696,0.2798572776273842
random_pair,1,degree_matched,0.9995471803267268,267948,57418,logreg,symmetric,S2,0.4437869822485207,0.5917922429195817,0.5625,0.3225656972202775,0.5,26,13,0.2798572776273842
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,symmetric,pooled,0.8353089065775239,0.8375810302934004,0.7618656904822014,0.2004014079015597,0.5,57418,28709,0.464785948174146
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,symmetric,S1,0.8353903127992008,0.8376522415297664,0.761949864241965,0.2003846704559846,0.5,57392,28696,0.464785948174146
