fold,model,bucket,auc_roc,auprc,auprc_lift,balanced_accuracy,f1,f2,precision,recall,n,n_positive
0,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,468,117
0,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
0,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,468,117
0,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
0,rules,test_S2,0.697810894392091,0.4386652598517989,1.7546610394071955,0.6837606837606838,0.5245901639344263,0.5378151260504201,0.5039370078740157,0.5470085470085471,468,117
0,rules,test_S3,0.8418367346938777,0.625,2.5,0.7857142857142858,0.6923076923076923,0.6617647058823529,0.75,0.6428571428571429,56,14
0,similarity,test_S2,0.6639028903986169,0.4959831342429303,1.9839325369717211,0.5484330484330484,0.183206106870229,0.12448132780082988,0.8571428571428571,0.10256410256410256,468,117
0,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
0,logistic_regression,test_S2,0.5873815959286044,0.3722554168280412,1.4890216673121648,0.5626780626780628,0.36015325670498083,0.3839869281045752,0.3263888888888889,0.4017094017094017,468,117
0,logistic_regression,test_S3,0.6989795918367347,0.39731622697050173,1.589264907882007,0.6428571428571428,0.4666666666666667,0.4861111111111111,0.4375,0.5,56,14
0,random_forest,test_S2,0.5862127742469623,0.41923735703966203,1.6769494281586481,0.5925925925925926,0.3333333333333333,0.2564102564102564,0.6666666666666666,0.2222222222222222,468,117
0,random_forest,test_S3,0.6207482993197279,0.45856172849961674,1.834246913998467,0.5,0.0,0.0,0.0,0.0,56,14
0,DDI-Net[gat],test_S2,0.742907930942119,0.5005315160057018,2.002126064022807,0.6794871794871795,0.5171102661596958,0.5537459283387622,0.4657534246575342,0.5811965811965812,468,117
0,DDI-Net[gat],test_S3,0.70578231292517,0.4744589283735756,1.8978357134943025,0.7023809523809523,0.5517241379310345,0.5633802816901409,0.5333333333333333,0.5714285714285714,56,14
1,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,464,116
1,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
1,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,464,116
1,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
1,rules,test_S2,0.6783467102655569,0.4002163086241456,1.6008652344965824,0.6781609195402298,0.5166666666666667,0.5272108843537415,0.5,0.5344827586206896,464,116
1,rules,test_S3,0.5756802721088435,0.29642857142857143,1.1857142857142857,0.5952380952380952,0.38461538461538464,0.36764705882352944,0.4166666666666667,0.35714285714285715,56,14
1,similarity,test_S2,0.5731643876337693,0.35870229542383886,1.4348091816953554,0.5,0.0,0.0,0.0,0.0,464,116
1,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,56,14
1,logistic_regression,test_S2,0.4822136345620293,0.26121850663612145,1.0448740265444858,0.5229885057471264,0.3106060606060606,0.3349673202614379,0.27702702702702703,0.35344827586206895,464,116
1,logistic_regression,test_S3,0.35714285714285715,0.20333952793898763,0.8133581117559505,0.380952380952381,0.16666666666666666,0.19230769230769232,0.13636363636363635,0.21428571428571427,56,14
1,random_forest,test_S2,0.5589823622671423,0.32079874740530334,1.2831949896212134,0.5272988505747126,0.174496644295302,0.13078470824949698,0.3939393939393939,0.11206896551724138,464,116
1,random_forest,test_S3,0.37414965986394555,0.20430539826920804,0.8172215930768322,0.5,0.0,0.0,0.0,0.0,56,14
1,DDI-Net[gat],test_S2,0.7165328973444312,0.48025363344544003,1.9210145337817601,0.6551724137931034,0.4846153846153846,0.5180921052631579,0.4375,0.5431034482758621,464,116
