scheme,seed,negatives,test_S1_fraction,n_train,architecture,lr,dropout,init_seed,epochs_run,best_epoch,stopped_by,wall_time_s,threshold,val_auprc,val_auc_roc,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive
random_pair,0,uniform,0.9996865094569648,267948,gine,0.001,0.1,0,800,736,epoch_limit,1680.8,0.4954838454723358,0.900996855643853,0.910678865268747,pooled,0.908561899900445,0.8979110875122502,0.8394761801753832,0.120346064733415,0.5,57418,28709
random_pair,0,uniform,0.9996865094569648,267948,gine,0.001,0.1,0,800,736,epoch_limit,1680.8,0.4954838454723358,0.900996855643853,0.910678865268747,S1,0.9086446065874296,0.897968874260753,0.8395772655404843,0.1202901993740065,0.5,57400,28700
random_pair,0,uniform,0.9996865094569648,267948,gine,0.001,0.1,0,800,736,epoch_limit,1680.8,0.4954838454723358,0.900996855643853,0.910678865268747,S2,0.7160493827160495,0.7237104942987296,0.3333333333333333,0.298494488624985,0.5,18,9
random_pair,0,uniform,0.9996865094569648,267948,dual,0.001,0.3,0,800,763,epoch_limit,2770.2,0.6419787406921387,0.9897638493206916,0.9903769064449018,pooled,0.9903046138981734,0.9899502359142353,0.953731650432158,0.0379389433324212,0.5,57418,28709
random_pair,0,uniform,0.9996865094569648,267948,dual,0.001,0.3,0,800,763,epoch_limit,2770.2,0.6419787406921387,0.9897638493206916,0.9903769064449018,S1,0.9903755296288652,0.9900006519158924,0.9538250428816466,0.0378593372116559,0.5,57400,28700
random_pair,0,uniform,0.9996865094569648,267948,dual,0.001,0.3,0,800,763,epoch_limit,2770.2,0.6419787406921387,0.9897638493206916,0.9903769064449018,S2,0.691358024691358,0.7680555555555557,0.5,0.2917940173284096,0.5,18,9
random_pair,0,uniform,0.9996865094569648,267948,gine_degree,0.001,0.1,0,800,754,epoch_limit,1679.6,0.4790709912776947,0.9275521693252332,0.9328381457271882,pooled,0.9327568954758328,0.9289761531497112,0.8619982022624357,0.1023652154284654,0.5,57418,28709
random_pair,0,uniform,0.9996865094569648,267948,gine_degree,0.001,0.1,0,800,754,epoch_limit,1679.6,0.4790709912776947,0.9275521693252332,0.9328381457271882,S1,0.9329926720003886,0.9291003080332692,0.8621297961122231,0.1022466284507971,0.5,57400,28700
random_pair,0,uniform,0.9996865094569648,267948,gine_degree,0.001,0.1,0,800,754,epoch_limit,1679.6,0.4790709912776947,0.9275521693252332,0.9328381457271882,S2,0.4444444444444444,0.562869592281357,0.0,0.4805259108816312,0.5,18,9
random_pair,0,degree_matched,0.9996865094569648,267948,gine,0.001,0.1,0,800,753,epoch_limit,1681.7,0.4211427569389343,0.882590468587288,0.8794411847287609,pooled,0.8761426516512306,0.8806083556522615,0.795539395513424,0.1437182454235588,0.5,57418,28709
random_pair,0,degree_matched,0.9996865094569648,267948,gine,0.001,0.1,0,800,753,epoch_limit,1681.7,0.4211427569389343,0.882590468587288,0.8794411847287609,S1,0.8762319695516517,0.880749047497457,0.7956420081834124,0.1436689194207346,0.5,57400,28700
random_pair,0,degree_matched,0.9996865094569648,267948,gine,0.001,0.1,0,800,753,epoch_limit,1681.7,0.4211427569389343,0.882590468587288,0.8794411847287609,S2,0.5185185185185185,0.5268097643097643,0.4444444444444444,0.3010133877632044,0.5,18,9
