condition,seed,adversarial,lambda_max,lambda_reached,epochs_run,best_epoch,stopped_by,r2_probe,spearman_norm_degree,probe_degenerate,embedding_var,adv_var_last,threshold,val_auprc,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive,scheme,negatives,wall_time_s
adv1,1,True,1.0,0.7768988541654751,167,87,patience,0.5321,-0.7354,False,0.240988,0.6913434267044067,0.7892046570777893,0.8300547636108626,pooled,0.8440793242750712,0.8293894637244495,0.7721802614592453,0.22386940801814195,0.4999738753330895,57417,28707,random_pair,uniform,482.6
adv1,1,True,1.0,0.7768988541654751,167,87,patience,0.5321,-0.7354,False,0.240988,0.6913434267044067,0.7892046570777893,0.8300547636108626,S1,0.8441755521070263,0.8294570907882164,0.7722881016340403,0.22388196891303602,0.49997386622994233,57397,28697,random_pair,uniform,482.6
adv1,1,True,1.0,0.7768988541654751,167,87,patience,0.5321,-0.7354,False,0.240988,0.6913434267044067,0.7892046570777893,0.8300547636108626,S2,0.78,0.7526587301587301,0.16666666666666666,0.18782152380655384,0.5,20,10,random_pair,uniform,482.6
base,2,False,0.0,0.0,800,731,epoch_limit,0.9387,-0.5567,False,1.549653,,0.6392186880111694,0.9909541983874942,pooled,0.9910160257738994,0.9908792089499159,0.9576240492575154,0.03458522911185214,0.4999912920810185,57419,28709,random_pair,uniform,2314.3
base,2,False,0.0,0.0,800,731,epoch_limit,0.9387,-0.5567,False,1.549653,,0.6392186880111694,0.9909541983874942,S1,0.9911029613998635,0.990941456196096,0.9577596024433171,0.03448259772042363,0.4999912866179879,57383,28691,random_pair,uniform,2314.3
base,2,False,0.0,0.0,800,731,epoch_limit,0.9387,-0.5567,False,1.549653,,0.6392186880111694,0.9909541983874942,S2,0.8650519031141868,0.9014482902718197,0.6923076923076923,0.18083787745320426,0.5,34,17,random_pair,uniform,2314.3
base,2,False,0.0,0.0,800,731,epoch_limit,0.9387,-0.5567,False,1.549653,,0.6392186880111694,0.9909541983874942,S3,1.0,1.0,0.0,0.4929387744802597,0.5,2,1,random_pair,uniform,2314.3
adv0,2,True,0.0,0.0,789,709,patience,0.9331,-0.5501,False,1.548816,2.0589370727539062,0.6422253847122192,0.9915579180816321,pooled,0.9915656557770469,0.9914862924292125,0.9580697569912544,0.03358559952505953,0.4999912920810185,57419,28709,random_pair,uniform,2248.5
adv0,2,True,0.0,0.0,789,709,patience,0.9331,-0.5501,False,1.548816,2.0589370727539062,0.6422253847122192,0.9915579180816321,S1,0.9916647620312644,0.9915530948717798,0.9581877918035622,0.03348510175508203,0.4999912866179879,57383,28691,random_pair,uniform,2248.5
adv0,2,True,0.0,0.0,789,709,patience,0.9331,-0.5501,False,1.548816,2.0589370727539062,0.6422253847122192,0.9915579180816321,S2,0.8546712802768165,0.8998371597442806,0.7407407407407407,0.17591036800887175,0.5,34,17,random_pair,uniform,2248.5
adv0,2,True,0.0,0.0,789,709,patience,0.9331,-0.5501,False,1.548816,2.0589370727539062,0.6422253847122192,0.9915579180816321,S3,1.0,1.0,0.0,0.4974963026096686,0.5,2,1,random_pair,uniform,2248.5
adv1,2,True,1.0,0.7101567754342408,143,63,patience,0.6839,-0.5912,False,0.466277,1.104931354522705,0.3334302008152008,0.8240178466759557,pooled,0.8434325720956971,0.8249453966510837,0.7792456268221575,0.16732225543849424,0.4999912920810185,57419,28709,random_pair,uniform,415.0
adv1,2,True,1.0,0.7101567754342408,143,63,patience,0.6839,-0.5912,False,0.466277,1.104931354522705,0.3334302008152008,0.8240178466759557,S1,0.8436612081728084,0.8250822213405462,0.7794148920010937,0.16720874175709613,0.4999912866179879,57383,28691,random_pair,uniform,415.0
adv1,2,True,1.0,0.7101567754342408,143,63,patience,0.6839,-0.5912,False,0.466277,1.104931354522705,0.3334302008152008,0.8240178466759557,S2,0.6643598615916955,0.6818405188162222,0.2,0.3604494796472039,0.5,34,17,random_pair,uniform,415.0
adv1,2,True,1.0,0.7101567754342408,143,63,patience,0.6839,-0.5912,False,0.466277,1.104931354522705,0.3334302008152008,0.8240178466759557,S3,1.0,1.0,1.0,0.14103723372469112,0.5,2,1,random_pair,uniform,415.0
