fold,model,bucket,auc_roc,auprc,auprc_lift,balanced_accuracy,f1,f2,precision,recall,n,n_positive
1,DDI-Net[gat],test_S3,0.5034013605442177,0.25903419225446317,1.0361367690178527,0.5119047619047619,0.32432432432432434,0.379746835443038,0.2608695652173913,0.42857142857142855,56,14
2,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,432,108
2,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,432,108
2,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,rules,test_S2,0.6641375171467764,0.4191239939778218,1.6764959759112872,0.6558641975308642,0.4864864864864865,0.5403087478559176,0.41721854304635764,0.5833333333333334,432,108
2,rules,test_S3,0.8204837490551776,0.5786077997900658,2.3144311991602633,0.8095238095238095,0.6666666666666666,0.7692307692307693,0.5454545454545454,0.8571428571428571,84,21
2,similarity,test_S2,0.536565500685871,0.3684751149915084,1.4739004599660337,0.5277777777777778,0.10526315789473684,0.0684931506849315,1.0,0.05555555555555555,432,108
2,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,logistic_regression,test_S2,0.4949702789208962,0.27552632567559104,1.1021053027023642,0.5185185185185185,0.3,0.3191489361702128,0.2727272727272727,0.3333333333333333,432,108
2,logistic_regression,test_S3,0.6507936507936508,0.4137474622278712,1.6549898489114847,0.5873015873015873,0.391304347826087,0.41284403669724773,0.36,0.42857142857142855,84,21
2,random_forest,test_S2,0.5023148148148148,0.3001825104102792,1.2007300416411169,0.529320987654321,0.20134228187919462,0.15856236786469344,0.36585365853658536,0.1388888888888889,432,108
2,random_forest,test_S3,0.45427059712774,0.2523960811256346,1.0095843245025384,0.5,0.0,0.0,0.0,0.0,84,21
2,DDI-Net[gat],test_S2,0.7430841335162323,0.49626414777456357,1.9850565910982543,0.662037037037037,0.49372384937238495,0.5239786856127886,0.45038167938931295,0.5462962962962963,432,108
2,DDI-Net[gat],test_S3,0.7112622826908541,0.4393991831152243,1.7575967324608972,0.6507936507936507,0.48484848484848486,0.6201550387596899,0.35555555555555557,0.7619047619047619,84,21
3,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,440,110
3,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,440,110
3,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,rules,test_S2,0.7504132231404959,0.5009058327820722,2.003623331128289,0.740909090909091,0.5865724381625441,0.6769983686786297,0.4797687861271676,0.7545454545454545,440,110
3,rules,test_S3,0.6654166666666668,0.40659156900010557,1.6263662760004223,0.6583333333333333,0.49056603773584906,0.5752212389380531,0.3939393939393939,0.65,80,20
3,similarity,test_S2,0.6085537190082646,0.39647348125266235,1.5858939250106494,0.5045454545454545,0.018018018018018018,0.011337868480725623,1.0,0.00909090909090909,440,110
3,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,logistic_regression,test_S2,0.536969696969697,0.2836907723016302,1.1347630892065208,0.5287878787878788,0.29955947136563876,0.3052064631956912,0.2905982905982906,0.3090909090909091,440,110
3,logistic_regression,test_S3,0.5791666666666666,0.36454477965141774,1.458179118605671,0.5333333333333333,0.3181818181818182,0.33653846153846156,0.2916666666666667,0.35,80,20
3,random_forest,test_S2,0.5779889807162535,0.320583883868518,1.282335535474072,0.5045454545454545,0.0916030534351145,0.0650759219088937,0.2857142857142857,0.05454545454545454,440,110
3,random_forest,test_S3,0.42333333333333334,0.25718028717388064,1.0287211486955226,0.5,0.0,0.0,0.0,0.0,80,20
3,DDI-Net[gat],test_S2,0.7565013774104683,0.4901956307055274,1.9607825228221096,0.6878787878787879,0.5271317829457365,0.5782312925170068,0.4594594594594595,0.6181818181818182,440,110
3,DDI-Net[gat],test_S3,0.6266666666666666,0.3688050617572677,1.4752202470290707,0.625,0.45614035087719296,0.5555555555555556,0.35135135135135137,0.65,80,20
4,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,416,104
4,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
4,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,416,104
4,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
4,rules,test_S2,0.7024469921104537,0.39869845609851073,1.594793824394043,0.7003205128205128,0.5432098765432098,0.5945945945945946,0.4748201438848921,0.6346153846153846,416,104
4,rules,test_S3,0.6308333333333334,0.3143018018018018,1.2572072072072071,0.625,0.4444444444444444,0.47619047619047616,0.4,0.5,80,20
4,similarity,test_S2,0.5490631163708086,0.33350680429941437,1.3340272171976575,0.5128205128205128,0.05555555555555555,0.03571428571428571,0.75,0.028846153846153848,416,104
